8.599976210300939172e+00,3.362800000000000000e+04,5.000000000000000000e+02,5.000000000000000000e+00
9.514389005250624365e+00,3.485300000000000000e+04,5.000000000000000000e+02,5.000000000000000000e+00
8.418748848916447258e+00,1.628900000000000000e+04,5.000000000000000000e+02,5.000000000000000000e+00
8.358492963563010747e+00,3.147900000000000000e+04,5.000000000000000000e+02,5.000000000000000000e+00
9.825878430366760341e+00,3.899000000000000000e+04,5.000000000000000000e+02,5.000000000000000000e+00
8.925173228041652251e+00,2.583300000000000000e+04,5.000000000000000000e+02,5.000000000000000000e+00
9.841024532584027540e+00,3.701200000000000000e+04,5.000000000000000000e+02,5.000000000000000000e+00
9.397901313195644590e+00,3.297300000000000000e+04,5.000000000000000000e+02,5.000000000000000000e+00
9.015998992189468098e+00,2.381400000000000000e+04,5.000000000000000000e+02,5.000000000000000000e+00
1.076020874987291975e+01,2.950900000000000000e+04,5.000000000000000000e+02,5.000000000000000000e+00
